Source,Target
henriquemenezes,tarruda
paulolieuthier,tarruda
meiralins,tarruda
dapine,tarruda
spider8,tarruda
luanfonceca,joselitojunior1
renatooliveira,joselitojunior1
talitaoliveira,joselitojunior1
pcstl,joselitojunior1
diegonvs,joselitojunior1
karlafalcao,joselitojunior1
embs,joselitojunior1
mauriciomanoel,joselitojunior1
arthurmichel,joselitojunior1
meiralins,joselitojunior1
mirjahal,joselitojunior1
ThaisaMirely,joselitojunior1
peaonunes,joselitojunior1
Cisneiros,joselitojunior1
paulomenezes,joselitojunior1
grodrigues,joselitojunior1
thiagotargino,joselitojunior1
witerbino,joselitojunior1
levisaturnino,joselitojunior1
andreximenes,joselitojunior1
evertonpessoa,joselitojunior1
dayvisons,joselitojunior1
esdrascavalcs,joselitojunior1
andreguigo,joselitojunior1
simoneas02,mairatma
henvic,mairatma
brunocoelho,mairatma
henriquemenezes,mairatma
andrewesteves,mairatma
diegonvs,mairatma
karlafalcao,mairatma
patrickrbc,mairatma
alexpessoajr,mairatma
iagobelo,mairatma
pereiragislene,mairatma
meiralins,mairatma
pedroqueiroz,mairatma
filipewl,mairatma
grodrigues,mairatma
aperrelli,mairatma
tcostam,mairatma
albertmourato,mairatma
fmm,mairatma
brunover,mairatma
luanfonceca,marcelcaraciolo
gileno,marcelcaraciolo
filipeximenes,marcelcaraciolo
renatooliveira,marcelcaraciolo
fjsj,marcelcaraciolo
arthuralvim,marcelcaraciolo
henriquemenezes,marcelcaraciolo
karlafalcao,marcelcaraciolo
patrickrbc,marcelcaraciolo
thiagoarrais,marcelcaraciolo
filipevarjao,marcelcaraciolo
victorcarrico,marcelcaraciolo
brunnogomes,marcelcaraciolo
irgmedeiros,marcelcaraciolo
lipse,marcelcaraciolo
Gustavomagalhaes,marcelcaraciolo
daniellqueiroz,marcelcaraciolo
lauromoura,marcelcaraciolo
guilhermepaiva,marcelcaraciolo
nielsonsantana,marcelcaraciolo
geocarvalho,marcelcaraciolo
tcostam,marcelcaraciolo
wellington16,marcelcaraciolo
klebercode,marcelcaraciolo
jamissonfreitas,marcelcaraciolo
angelobrito,marcelcaraciolo
hugoesb,marcelcaraciolo
joaosantana,marcelcaraciolo
wbgalvao,marcelcaraciolo
deividazevedo2,luanfonceca
gileno,luanfonceca
filipeximenes,luanfonceca
renatooliveira,luanfonceca
fjsj,luanfonceca
